Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3224,144.771,144.771,-11.1957,-27.5888,28.3022
664,5.86303,5.86303,-75.7197,-18.0398,5.06336
408,18.7327,18.7327,-80.1734,23.3312,13.132
2456,109.756,109.756,-30.5422,19.051,13.9594
1944,45.4014,45.4014,-41.8509,-28.2663,8.82546
3992,461.915,461.915,21.7235,-8.98563,-15.7186
1112,4.83274,4.83274,-65.9005,3.7651,10.2876
3160,121.86,121.86,-11.9125,-20.8048,35.8849
2648,61.5512,61.5512,-26.5367,-12.3071,-3.44653
1624,47.499,47.499,-53.4321,-10.498,28.5082
4440,103.883,103.883,33.7034,-14.3099,-1.71997
2392,84.9958,84.9958,-32.2021,-26.0329,1.70058
1368,99.3015,99.3015,-58.1333,11.6832,25.3272
3416,105.557,105.557,-4.77199,21.0925,35.9071
856,48.9939,48.9939,-71.5262,15.4194,14.9672
2904,101.17,101.17,-19.7068,-19.3855,9.52898
1240,345.36,345.36,-61.0291,23.2097,16.7153
3800,146.584,146.584,11.7385,-0.450142,3.50431
4568,330.81,330.81,41.357,4.8856,19.1606
1496,111.397,111.397,-54.643,-11.04,-14.0392
3544,36.6912,36.6912,0.383183,-7.17203,36.5079
3032,97.1387,97.1387,-16.1301,-6.48031,-5.27806
4056,297.821,297.821,22.674,0.0963188,-12.4903
4152,323.398,323.398,25.3608,-1.23014,-18.707
4664,62.3067,62.3067,44.4836,4.04426,-1.52311
2616,240.803,240.803,-24.6886,-22.2696,27.0115
1592,2.6768,2.6768,-54.7983,-6.02774,-16.071
3640,113.336,113.336,4.14167,23.7857,-5.60256
4408,276.684,276.684,33.9847,-8.43002,23.8676
824,53.8163,53.8163,-71.96,25.9807,15.28
4280,92.8066,92.8066,29.2795,-6.84303,2.3405
2232,111.402,111.402,-34.9459,22.4207,10.8327
1464,164.189,164.189,-55.9081,5.56325,-9.38992
1976,34.4555,34.4555,-43.6311,-22.9017,36.6617
2168,89.2609,89.2609,-37.4463,9.41444,9.6414
632,195.232,195.232,-72.6934,16.7034,-13.8955
1656,103.439,103.439,-51.7009,24.0363,-11.0508
4472,121.001,121.001,35.8804,-2.21859,10.4248
1400,432.855,432.855,-56.7383,0.827632,1.31336
3448,124.972,124.972,-3.33265,0.46075,34.4584
2296,78.4817,78.4817,-32.2213,-18.0685,36.0843
1272,84.8092,84.8092,-61.348,-10.6015,12.7163
2808,48.3243,48.3243,-22.2004,9.90554,7.7865
3832,151.258,151.258,14.2326,17.7821,-3.63254
504,313.693,313.693,-73.6978,19.6346,-8.62632
4600,255.719,255.719,41.6467,-1.75163,12.5105
1016,67.7543,67.7543,-67.4724,-25.9412,22.1329
2040,376.809,376.809,-38.0139,-0.356197,35.3662
4100,282.716,282.716,24.4472,17.9452,-6.06394
1028,23.4417,23.4417,-67.531,-12.5492,22.8345
3076,152.943,152.943,-14.6643,9.11743,-16.6834
1540,126.395,126.395,-53.3438,-20.8823,-15.321
1284,280.632,280.632,-60.9596,-18.3774,17.6085
3332,0.575234,0.575234,-9.92209,-6.06845,37.2033
2820,287.104,287.104,-22.3631,-16.4984,21.1239
4228,235.832,235.832,29.2246,-4.0265,17.274
2180,194.576,194.576,-35.6296,-21.4638,11.2962
1156,195.632,195.632,-63.3183,3.06903,21.332
4740,108.541,108.541,61.5529,-0.0796698,6.54821
2692,174.512,174.512,-23.6902,-1.37058,11.4199
1412,409.823,409.823,-57.1837,-14.3144,15.5144
3460,87.7256,87.7256,-3.14017,5.74108,-3.2802
2948,33.208,33.208,-18.7098,-0.110591,-4.86135
