Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
870,163.616,163.616,-12.4258,-15.8713,-21.6743
1894,103.885,103.885,29.84,13.6238,-34.8219
230,108.189,108.189,-44.581,36.355,-8.10359
2278,105.935,105.935,46.9372,-57.091,6.21729
1254,163.578,163.578,2.98544,-3.21723,-21.5696
742,150.592,150.592,-19.5574,22.032,-2.86544
2790,48.1563,48.1563,63.5828,-41.0515,10.9611
1766,64.2612,64.2612,22.775,-51.7401,-30.237
486,80.486,80.486,-31.5879,19.5105,-2.7119
2534,77.6834,77.6834,55.7333,-46.3514,19.2415
1510,118.777,118.777,13.7432,-39.2913,-17.731
998,143.6,143.6,-8.19929,-34.203,-10.7527
2022,80.8044,80.8044,33.6674,-38.1164,11.1695
22,135.852,135.852,-59.9702,-57.8823,-34.5424
2070,134.469,134.469,36.4057,-20.465,-6.73413
1046,166.892,166.892,-6.25076,-26.4146,-12.4117
534,125.036,125.036,-28.9916,32.3876,-2.41717
2582,129.709,129.709,57.4378,21.8965,-33.9368
1558,145.613,145.613,18.992,5.06438,-34.4465
278,115.593,115.593,-40.1648,44.3086,-9.78178
2326,77.6874,77.6874,46.9193,-55.7998,20.0531
1302,255.229,255.229,7.75665,-18.2812,-17.2412
790,127.338,127.338,-17.7098,4.11458,10.7887
2838,25.6346,25.6346,64.0001,21.8417,-27.838
1814,130.103,130.103,25.0373,-3.96381,-15.7677
150,124.832,124.832,-49.864,-50.0493,-34.5125
2198,24.9765,24.9765,41.1939,-63.6205,-18.5828
1174,126.633,126.633,-1.02131,-4.56131,29.7657
662,85.7609,85.7609,-23.723,20.1008,-8.80401
2710,178.012,178.012,62.1984,-30.2186,1.51902
1686,126.039,126.039,21.4428,-24.2647,-1.41794
406,144.843,144.843,-33.1783,7.10619,-11.7722
2454,192.919,192.919,53.6843,-48.1716,8.628
1430,151.07,151.07,11.6768,-19.4736,14.5486
918,18.4893,18.4893,-13.496,9.05177,-35.1393
1942,143.963,143.963,31.4519,-32.5336,12.9533
86,43.3382,43.3382,-59.9556,-63.3826,21.5066
2134,43.0251,43.0251,38.5423,-37.9914,-34.6911
1110,97.4304,97.4304,-4.70681,-20.9678,15.7197
598,126.896,126.896,-26.1889,35.899,-15.0788
2646,215.742,215.742,61.2402,1.75555,-31.6381
1622,17.8501,17.8501,16.2203,-12.2254,-34.6196
342,142.953,142.953,-37.3541,38.9242,0.769136
2390,114.911,114.911,50.0877,-49.2028,17.1917
1366,100.049,100.049,8.12214,-27.6796,7.23148
854,278.37,278.37,-13.1387,-59.1966,-16.9267
1878,48.6321,48.6321,27.4528,-4.33266,-34.9016
214,122.522,122.522,-45.2174,22.7308,-9.28877
2262,75.4312,75.4312,43.1211,-40.1592,5.9488
1238,91.9366,91.9366,1.80162,-24.7478,25.0157
726,121.722,121.722,-20.4,-12.1643,-22.1036
2774,49.01,49.01,63.3245,15.0133,-31.0376
1750,7.02872,7.02872,20.3924,-44.5421,13.6369
470,270.071,270.071,-29.1783,13.412,13.9044
2518,151.661,151.661,58.8578,-2.25044,-34.5054
1494,11.7213,11.7213,11.1563,-63.5483,8.59783
982,239.228,239.228,-8.37211,-19.7,-19.4272
2006,10.1777,10.1777,31.7258,-55.1756,-19.7962
2102,367.442,367.442,45.673,-60.5915,-20.0058
1078,239.86,239.86,-3.09619,-39.9323,-9.49324
566,110.718,110.718,-26.7595,3.29931,0.799526
2614,82.7486,82.7486,57.3676,-55.7438,-19.7916
310,54.6042,54.6042,-39.793,-55.4963,-7.74397
2358,405.651,405.651,56.1459,-36.781,-18.3967
1334,114.194,114.194,5.78906,-40.2025,12.7023
822,224.786,224.786,-15.6346,12.6783,15.2667
1846,8.33238,8.33238,24.6225,-63.4044,0.842161
182,188.144,188.144,-47.088,28.1637,-9.81164
2230,214.766,214.766,45.2492,-45.3018,-13.1574
1206,125.929,125.929,1.00201,-15.0918,29.8841
694,69.1991,69.1991,-23.0208,2.4208,2.51599
2742,144.706,144.706,62.7786,-13.8066,-2.238
1718,462.028,462.028,26.966,-56.033,-0.967991
438,219.436,219.436,-32.1908,19.6875,-20.8222
2486,118.545,118.545,55.2067,-29.3468,5.64333
1462,158.46,158.46,7.23981,-24.7043,15.0012
950,179.009,179.009,-9.64839,13.2875,-8.96468
1974,49.8011,49.8011,31.2524,-62.3316,-16.0815
118,264.831,264.831,-52.3746,-33.1811,-26.3636
2166,12.2413,12.2413,38.9051,-36.6004,2.84596
1142,147.589,147.589,-2.67337,-46.4335,8.66016
630,510.639,510.639,-21.3222,27.3704,-24.163
2678,154.21,154.21,61.7971,-42.1949,-29.4437
1654,3.21283,3.21283,18.1204,-63.6617,21.6546
374,186.935,186.935,-33.4463,21.6219,9.33109
2422,322.414,322.414,53.4374,-31.9443,-21.4018
1398,114.365,114.365,8.54679,-3.45099,19.0288
886,104.932,104.932,-13.513,0.592141,15.082
1910,144.074,144.074,28.9697,-32.9795,5.24096
246,103.113,103.113,-41.6136,30.1717,9.59591
2294,324.477,324.477,52.1483,-57.9721,-1.82896
1270,100.894,100.894,3.53179,-27.512,23.8218
758,128.312,128.312,-18.7416,-1.7887,23.4529
2806,37.1033,37.1033,63.6336,-35.3158,-31.8967
1782,200.04,200.04,27.4726,-59.3874,-4.93308
502,99.8156,99.8156,-28.8237,15.823,1.33832
2550,114.592,114.592,56.0248,-16.7416,-8.2258
1526,35.7122,35.7122,12.5025,-62.1471,-9.8718
1014,106.278,106.278,-8.79619,-61.8087,22.1536
2038,31.0156,31.0156,33.094,-55.5577,-4.38304
14,5.03402,5.03402,-63.3796,-63.3834,22.3072
2062,8.81172,8.81172,34.5991,-63.4705,-7.10079
1038,164.106,164.106,-6.08597,-36.5992,-8.04019
526,76.5862,76.5862,-28.714,-53.4167,2.12538
2574,249.276,249.276,60.1732,-47.0079,-8.20485
1550,128.355,128.355,15.1627,-19.1856,4.95039
270,117.903,117.903,-40.1629,15.0551,-12.1201
2318,97.5004,97.5004,47.659,6.71266,-18.3629
1294,121.693,121.693,4.45805,-36.6204,15.6756
782,150.117,150.117,-18.2671,6.30614,0.74092
2830,35.1584,35.1584,63.9694,-47.3466,34.0943
1806,2755.14,2755.14,36.5402,-27.0084,-19.4929
142,378.047,378.047,-48.2907,-59.2744,-28.2984
2190,4647.82,4647.82,54.7525,-22.7095,-25.2229
1166,93.979,93.979,-2.20066,-21.4581,10.713
654,170.18,170.18,-22.5988,1.95011,21.6447
2702,111.932,111.932,61.9964,-28.938,7.68812
1678,73.7015,73.7015,20.9605,-63.0369,15.6613
398,118.759,118.759,-34.2442,-53.9603,-31.1983
2446,124.849,124.849,52.1732,3.79554,-15.5386
1422,162.124,162.124,11.0828,-36.6173,-5.37641
910,153.535,153.535,-11.9115,-3.73264,-28.3084
1934,388.487,388.487,35.9761,-45.295,-17.4804
78,203.996,203.996,-58.5363,-30.2551,-24.2488
2126,45.6741,45.6741,37.3027,-52.6463,-9.43648
1102,122.438,122.438,-4.78571,1.11104,13.5402
590,156.537,156.537,-24.5926,16.7846,20.104
2638,129.361,129.361,60.1464,-48.4168,18.6208
1614,33.4932,33.4932,17.3915,-2.82695,-34.8983
334,180.965,180.965,-36.9471,-57.6762,-10.4284
2382,130.535,130.535,50.4282,-37.3729,1.27656
1358,124.555,124.555,7.78438,-24.0743,26.7192
846,353.948,353.948,-10.4996,-61.0704,-21.0807
1870,258.787,258.787,31.8723,-58.4314,-20.0024
