Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
4608,149.816,149.816,31.0717,1.77549,1.50008
2560,153.194,153.194,-27.3124,4.14318,8.92369
3584,245.061,245.061,0.81004,-6.07302,17.1639
1792,104.478,104.478,-49.553,31.0991,-25.9228
3840,128.168,128.168,7.65566,-8.50507,14.3073
4736,59.7989,59.7989,35.8316,1.25631,3.86332
1664,156.661,156.661,-52.6072,30.5854,-19.7004
2432,37.1269,37.1269,-31.2457,-3.64997,-31.087
1408,267.105,267.105,-55.94,1.32477,-29.7485
2944,105.323,105.323,-19.0753,1.22858,6.93505
1920,157.957,157.957,-44.1428,-29.5692,-27.6779
4160,184.821,184.821,16.4448,10.6689,20.7109
2624,185.926,185.926,-24.5884,16.6973,7.75392
1600,12.0225,12.0225,-56.7516,-32.3771,6.00204
2240,6.92464,6.92464,-36.5682,7.23713,-7.54088
4544,149.261,149.261,29.2141,5.53811,-0.584841
2496,169.487,169.487,-28.0653,-21.4028,-29.3122
1472,56.6475,56.6475,-58.6571,-4.9113,-13.7987
3008,101.318,101.318,-17.4843,6.67184,3.97809
4128,170.892,170.892,15.8519,9.90803,7.27743
4640,143.201,143.201,30.1798,-3.5152,23.373
2336,256.747,256.747,-31.4315,-13.5648,-23.9651
4256,59.7666,59.7666,18.7859,1.61103,0.403689
4768,137.467,137.467,36.7268,-11.2104,12.5233
2656,158.954,158.954,-24.8022,10.7441,-1.5861
4448,478.88,478.88,28.3254,-13.3487,-11.1814
3936,260.008,260.008,11.4544,-17.6139,-1.78075
3296,109.648,109.648,-9.94053,24.8474,9.40224
2784,150.162,150.162,-21.8251,-3.81126,1.78982
3808,144.212,144.212,5.95377,22.6389,9.92106
1504,116.934,116.934,-57.5702,-1.46861,-15.62
2064,98.1235,98.1235,-39.8963,-31.6939,-20.0809
3088,82.4889,82.4889,-16.4171,-11.1946,-30.6528
2576,103.75,103.75,-26.7286,8.74883,1.70031
3344,84.0936,84.0936,-7.85478,-3.3433,-30.7798
2832,205.376,205.376,-19.8504,19.8526,11.1906
1680,19.9842,19.9842,-54.6182,12.5685,6.7598
3472,119.297,119.297,-3.56639,7.92013,19.4841
2960,150.437,150.437,-18.7591,-4.84259,-7.98801
3984,191.186,191.186,11.7961,12.0841,3.54978
4176,280.54,280.54,18.3539,-24.45,6.0899
2128,99.8262,99.8262,-38.2461,6.38411,-0.64925
2640,22.396,22.396,-25.6844,32.4244,-26.8012
1616,213.105,213.105,-54.349,20.9072,6.29521
3664,138.593,138.593,2.0521,10.8359,7.14848
2384,139.82,139.82,-31.4492,-13.2444,-13.871
3280,165.222,165.222,-8.57029,11.6789,-29.4332
3792,180.781,180.781,6.05648,17.9757,24.8701
3024,93.7016,93.7016,-17.3064,23.4008,6.50564
2000,202.685,202.685,-39.6792,-19.7252,-24.7002
4144,17.7794,17.7794,14.9483,5.58367,-31.6115
3120,154.588,154.588,-12.8283,29.0981,-30.4682
2608,193.954,193.954,-26.5914,1.05297,-3.51659
1584,103.986,103.986,-56.7088,-16.7251,-15.4354
3376,207.495,207.495,-5.54186,21.1739,14.7781
2224,206.507,206.507,-34.055,-25.107,-28.5092
2480,111.617,111.617,-29.7081,-5.0096,-13.6867
1456,238.738,238.738,-58.3982,-22.8211,2.92823
2992,142.119,142.119,-17.238,24.9125,16.493
2160,108.259,108.259,-36.0854,11.3239,-10.9505
3184,127.729,127.729,-12.2158,6.20629,12.796
1648,128.477,128.477,-53.2091,32.0222,8.9624
1392,0.667249,0.667249,-59.4053,32.3589,-11.3842
3440,134.997,134.997,-5.04123,1.22675,13.5414
1904,121.449,121.449,-44.5353,-6.86072,-30.9239
3312,101.568,101.568,-7.41515,17.6281,12.6202
2800,80.4126,80.4126,-23.152,-10.962,-2.68376
4592,182.52,182.52,29.8901,-17.7889,21.3132
1520,251.799,251.799,-57.0157,11.7835,-24.4912
3056,6.81638,6.81638,-17.9458,19.9866,-31.4785
4080,188.861,188.861,14.9242,1.2,22.898
4104,176.591,176.591,15.8876,7.62657,-2.33041
1544,7.42321,7.42321,-59.3709,-14.339,-2.01715
3592,240.154,240.154,1.42264,-13.427,6.44165
4360,111.857,111.857,23.6126,-12.5683,5.93209
2824,194.494,194.494,-21.5597,4.88048,-19.8514
2184,89.6303,89.6303,-36.355,28.6982,-22.096
1672,127.407,127.407,-53.845,0.847054,-24.5006
4488,22.4217,22.4217,23.7785,12.8028,6.22042
2952,154.185,154.185,-18.6218,-8.70934,-20.4554
1928,46.028,46.028,-41.5032,32.0579,-30.2907
3144,3.45046,3.45046,-15.7584,5.91604,-31.2295
4680,104.307,104.307,31.7336,13.9827,6.4736
2632,124.246,124.246,-26.1248,27.639,-27.9601
3656,164.675,164.675,2.80676,4.93565,24.5917
4424,83.8418,83.8418,23.725,5.00487,6.09037
2888,113.325,113.325,-20.0663,11.4258,15.6525
2248,163.009,163.009,-33.5973,7.46644,-4.43813
4552,172.998,172.998,28.4326,-11.0793,18.4546
2504,100.288,100.288,-28.2842,-8.6105,-1.92519
1480,148.969,148.969,-57.9927,-24.4584,-21.5947
2088,214.921,214.921,-37.1857,-6.48297,-25.0672
3624,125.561,125.561,1.41582,4.86254,7.80577
4904,142.274,142.274,50.1184,8.15949,16.4918
1832,196.874,196.874,-47.4656,8.96737,-24.6026
4264,355.716,355.716,23.2978,-22.1223,8.14347
2216,240.494,240.494,-33.6818,7.62527,-12.4547
