Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
2048,91.3356,91.3356,36.3179,-61.2016,-6.50505
1024,158.723,158.723,-6.94254,-43.3485,3.54617
512,63.0332,63.0332,-28.9873,-52.719,-0.996122
2560,178.479,178.479,60.8455,-54.8424,-19.0773
1536,319.71,319.71,16.3915,-13.5879,-23.6856
256,354.138,354.138,-40.2409,1.83692,-7.56149
2304,139.081,139.081,46.2154,-16.5255,-5.1609
1280,10.0708,10.0708,2.19979,-25.4721,20.564
768,148.431,148.431,-18.0552,31.2444,8.1551
2816,4.38749,4.38749,63.9112,-53.1387,6.70397
1792,2.05375,2.05375,22.4375,-55.5301,-6.04761
2176,62.5498,62.5498,41.006,-59.4731,21.4195
1152,363.486,363.486,0.514816,-55.1581,-32.9099
640,40.5593,40.5593,-22.9913,-29.5878,-34.6361
2688,83.9303,83.9303,61.6335,-15.5466,2.4622
1664,301.402,301.402,21.4621,-46.1848,-32.9439
384,314.374,314.374,-31.3092,-57.8875,-30.2554
2432,0.0284903,0.0284903,54.2481,-63.6381,35.505
1408,127.732,127.732,9.82453,-29.0061,0.620585
896,2.27163,2.27163,-14.8413,-7.3728,-30.7139
1920,98.4665,98.4665,29.8468,-16.1429,-10.1696
64,0.799668,0.799668,-63.5124,-33.0071,-34.8693
2112,85.9485,85.9485,38.6772,-57.4684,15.0594
1088,63.0447,63.0447,-4.2865,-62.8066,14.7161
576,150.81,150.81,-26.6926,30.5761,-10.5004
2624,117.163,117.163,59.4098,-9.56282,-7.2001
1600,238.808,238.808,18.4217,-36.3924,-15.2582
320,201.477,201.477,-36.7076,11.9579,13.7188
2368,122.421,122.421,49.1732,4.21105,-16.5802
1344,137.734,137.734,6.37956,0.976909,-23.988
832,77.4093,77.4093,-16.4425,-23.8933,-14.8455
1856,300.994,300.994,27.917,-55.5258,-8.79453
192,129.82,129.82,-46.7467,30.8421,1.81585
2240,29.558,29.558,41.6034,-2.02195,-33.3718
1216,104.065,104.065,0.514127,-51.9374,11.7844
704,192.937,192.937,-20.698,7.22891,-12.0851
2752,117.469,117.469,62.8517,-9.38118,8.02194
1728,17.5691,17.5691,22.1148,-34.2622,-34.7885
448,171.331,171.331,-31.3653,5.72586,2.21364
2496,20.5072,20.5072,53.7634,26.8981,-34.9823
1472,56.4441,56.4441,11.9639,-48.4302,11.4961
960,204.325,204.325,-8.5034,-8.99174,-26.1631
1984,4.42699,4.42699,30.3007,-62.7606,7.59383
32,15.944,15.944,-63.45,-54.3948,-15.1307
2080,26.8706,26.8706,36.3119,-58.2532,-10.1139
1056,127.781,127.781,-5.57114,-39.0743,-33.4111
544,148.672,148.672,-27.3813,1.47951,14.8867
2592,106.384,106.384,57.9183,-8.06238,-32.2247
288,12.3141,12.3141,-41.8268,-34.1376,-17.7375
2336,8.71837,8.71837,46.0387,-12.2777,-14.1807
1312,155.614,155.614,7.25763,-17.7029,12.7229
800,108.092,108.092,-17.2679,-45.0737,0.202762
2848,1.85315,1.85315,64.2099,-31.1194,-9.05831
1824,152.746,152.746,25.5544,-42.6727,-3.21039
160,157.14,157.14,-49.6293,-40.5556,-16.3086
2208,251.36,251.36,43.7276,-35.4752,-33.4887
1184,147.701,147.701,-0.527818,-2.87676,14.3916
672,122.046,122.046,-23.2846,29.9805,0.664563
2720,119.505,119.505,62.6535,-17.8632,-33.5529
1696,83.9812,83.9812,20.519,-60.0404,-9.46127
416,327.744,327.744,-30.5105,-38.3455,-32.651
2464,82.5641,82.5641,52.5609,-33.9768,5.41249
1440,157.845,157.845,11.4542,-26.7332,12.3873
928,6.4936,6.4936,-13.8366,-58.7932,7.76579
1952,52.2632,52.2632,29.8762,-58.3694,-24.8184
96,393.393,393.393,-54.6565,-57.3408,-16.5428
2144,18.1349,18.1349,37.7967,-22.8849,-14.8498
608,110.021,110.021,-26.0859,25.3315,-9.65253
2656,36.6785,36.6785,59.8418,-57.2879,-6.09056
1632,108.469,108.469,19.0398,0.0442739,-19.8188
352,142.258,142.258,-34.9824,22.6912,-14.5185
2400,248.463,248.463,51.4194,-1.50694,-19.3874
1376,179.581,179.581,8.61331,-55.7467,-3.88023
864,119.127,119.127,-14.2306,-41.6827,-7.28899
1888,128.709,128.709,28.5363,-49.4845,-4.43821
224,113.768,113.768,-44.4704,41.9728,1.37784
2272,144.4,144.4,45.1971,-7.15713,-32.4726
1248,159.034,159.034,10.1015,-16.7444,-34.2377
736,264.032,264.032,-19.0552,30.0444,0.848487
2784,16.5427,16.5427,63.4478,-54.0985,9.8046
1760,105.383,105.383,23.6575,-43.8624,15.1915
480,172.911,172.911,-28.9289,-54.3733,-9.93817
2528,5.99104,5.99104,54.2208,-50.918,7.05797
1504,0.429249,0.429249,10.8542,-9.55565,-35.1005
992,2.61022,2.61022,-11.4739,-15.1479,-29.3946
2016,121.995,121.995,34.6689,-43.9805,0.340768
16,85.8403,85.8403,-61.6959,-62.385,30.0249
2064,24.7782,24.7782,34.9818,-55.2441,-5.50796
1040,15.3208,15.3208,-8.45213,2.37771,17.6129
528,26.9172,26.9172,-28.7631,24.9606,-1.71016
2576,144.863,144.863,57.4635,-48.7104,-26.456
1552,65.5189,65.5189,14.4195,-57.5922,7.6424
272,177.669,177.669,-40.5261,25.8836,-17.2742
2320,7.80281,7.80281,45.1681,4.82687,-17.6124
1296,69.8035,69.8035,4.10518,0.568273,23.5121
784,198.323,198.323,-15.7754,-49.5178,-1.14532
2832,1.67884,1.67884,63.8606,-33.9323,-8.05488
144,237.959,237.959,-50.0621,-37.3653,-21.7153
2192,266.01,266.01,45.4922,-61.4508,4.68483
1168,259.66,259.66,1.5398,-27.0212,-16.286
656,64.3028,64.3028,-23.5894,-48.9265,1.4293
2704,11.9936,11.9936,60.7019,-56.2424,28.5195
1680,93.8993,93.8993,20.0715,-49.9444,10.797
400,128.482,128.482,-34.2237,-58.9742,1.31051
2448,174.099,174.099,58.4041,10.6995,-34.1877
1424,3.15319,3.15319,9.08654,-63.5867,-21.5016
912,0.641904,0.641904,-15.0641,3.53083,24.4593
1936,74.221,74.221,29.7153,-28.5159,12.1502
80,1.6184,1.6184,-62.4939,-56.0507,31.8538
2128,118.78,118.78,38.5306,-40.8281,3.18601
1104,98.7624,98.7624,-4.39911,-53.091,10.52
592,301.404,301.404,-24.5242,-49.8277,-13.5577
2640,254.575,254.575,61.8382,-47.3121,-24.0021
1616,178.969,178.969,18.3601,-58.8948,3.86214
336,25.6837,25.6837,-38.1956,24.2655,-9.28073
2384,129.364,129.364,50.6485,10.0654,-19.0751
1360,423.361,423.361,9.06417,-22.2245,-32.1066
848,3.40074,3.40074,-17.3032,0.341131,12.5693
1872,145.333,145.333,27.2687,-12.8352,-11.5967
208,325.243,325.243,-43.2652,7.51185,-7.33322
2256,21.7886,21.7886,43.0253,-51.1373,-6.08663
1232,132.471,132.471,2.4363,-7.71542,29.8957
720,83.591,83.591,-20.57,-62.3116,19.0484
2768,49.5504,49.5504,63.1005,-22.6218,-0.200868
1744,86.9208,86.9208,21.9174,-45.1824,-1.23017
464,52.8073,52.8073,-30.5871,-62.9727,-32.2871
2512,11.6867,11.6867,53.707,-43.1819,-9.31933
1488,187.495,187.495,13.6309,-39.6468,-4.99049
976,121.983,121.983,-9.05323,-56.0263,-11.3331
2000,447.875,447.875,37.7122,-7.49275,-31.9978
48,2.77687,2.77687,-63.615,-47.8719,24.1163
