Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3321,112.041,112.041,-8.71394,15.5759,-6.95196
3577,71.6743,71.6743,-1.74705,14.9816,-1.44989
3205,317.394,317.394,-9.0476,-5.605,12.3375
3461,213.894,213.894,-2.87248,32.144,-3.85912
3973,384.832,384.832,12.5674,-3.93123,0.239793
2373,81.9534,81.9534,-34.1847,-26.4288,-8.82338
2245,105.345,105.345,-36.6622,2.39938,2.76611
2501,143.825,143.825,-30.6764,-12.4807,-9.1398
3109,189.48,189.48,-12.8294,-3.12033,8.89801
2597,143.195,143.195,-27.0888,-0.930306,16.3479
1573,101.291,101.291,-54.8133,-19.9027,-17.0835
3877,339.757,339.757,9.5701,-0.663402,-9.29
2725,134.183,134.183,-25.2679,-12.509,7.66519
4005,424.897,424.897,16.0664,12.8713,-13.4749
4197,172.932,172.932,20.6375,24.1174,-1.81477
3173,338.768,338.768,-11.6182,30.4488,1.80414
3429,171.784,171.784,-3.77996,14.9614,21.064
3941,99.6251,99.6251,10.5439,24.716,10.6365
3813,84.0654,84.0654,5.90571,14.4928,-3.29135
2197,78.3528,78.3528,-38.4079,-11.9025,-12.3575
3477,154.579,154.579,-3.03937,0.156152,-7.06359
2965,72.8045,72.8045,-19.3494,-8.11827,9.20302
2645,90.5393,90.5393,-27.1139,-1.51805,5.07225
3669,60.0431,60.0431,0.842497,27.0995,5.45279
2389,101.664,101.664,-33.4231,-2.12567,-0.485253
3413,301.274,301.274,-4.04221,7.8303,-17.2049
3797,106.578,106.578,5.96919,10.1955,-7.2801
2517,65.8432,65.8432,-31.1628,-30.1559,-7.79786
3541,54.9193,54.9193,-2.61697,17.6016,-5.31936
2357,73.453,73.453,-34.3752,-6.06781,7.18957
3381,118.203,118.203,-7.15364,24.0709,6.68025
3893,403.71,403.71,11.3278,38.0495,12.0996
2741,162.072,162.072,-23.4235,-8.16262,3.74172
3765,37.2639,37.2639,4.26712,25.7302,-1.48455
2485,85.5077,85.5077,-31.251,-4.35113,4.0503
2997,147.031,147.031,-17.6821,-6.29914,2.62431
4021,229.362,229.362,16.3997,13.3382,21.0203
3701,204.816,204.816,4.69682,28.5732,-4.35533
2421,74.4619,74.4619,-32.7306,-23.2613,3.27357
2933,124.474,124.474,-18.8726,12.5809,18.7084
4109,67.6622,67.6622,15.7406,26.6971,7.50334
2061,83.5468,83.5468,-41.9288,1.43193,5.26954
3597,216.43,216.43,0.967031,21.312,15.3747
3725,59.3818,59.3818,3.25713,11.4832,5.90683
2445,72.4988,72.4988,-32.6835,-17.6477,-2.90246
3469,102.981,102.981,-3.89989,5.15572,-9.35947
3981,198.819,198.819,13.9399,11.2095,17.0131
2637,128.027,128.027,-25.3706,-8.67854,17.0753
3405,39.3864,39.3864,-7.01584,4.20987,-0.802752
2893,36.9101,36.9101,-20.2987,-0.00334556,11.3679
3789,274.91,274.91,5.84419,4.56717,-15.3334
1997,77.3131,77.3131,-43.1197,-15.6858,9.96662
2349,14.5588,14.5588,-36.5076,-17.9976,-7.24521
1837,73.3829,73.3829,-48.1849,-11.1726,-24.1465
3885,148.647,148.647,9.37962,42.2562,10.6296
3757,9.00876,9.00876,2.05548,34.8024,-4.81515
2477,89.5072,89.5072,-30.6601,-7.60029,2.02515
3181,155.595,155.595,-11.6256,-2.44537,1.82847
2669,53.9918,53.9918,-27.5316,-28.5644,-12.9834
1901,147.706,147.706,-44.9671,-27.1874,-6.84985
3949,212.235,212.235,11.094,12.2348,14.1523
2285,68.829,68.829,-35.8394,-7.86312,9.42376
3821,89.7524,89.7524,6.73473,14.1175,-6.38565
2589,83.0721,83.0721,-28.31,-5.10342,19.4667
3357,122.31,122.31,-7.87261,14.4425,12.4012
