Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
1331,0.550045,0.550045,60.2894,-40.9658,-14.9769
819,167.532,167.532,25.7548,-41.7572,-4.58473
179,136.982,136.982,-26.8312,11.1475,0.152577
1203,44.0667,44.0667,50.2808,-59.6947,-3.28368
691,413.569,413.569,20.6241,-43.1958,20.8139
435,168.54,168.54,-3.99856,-7.06962,-22.8361
947,127.052,127.052,30.9923,-11.0579,-15.2992
115,206.518,206.518,-34.4973,31.5693,4.42629
1139,343.588,343.588,48.024,-54.7654,15.0087
627,107.051,107.051,14.9452,-9.0488,-4.08822
371,301.711,301.711,-10.1922,-3.71216,11.5956
883,134.899,134.899,28.0147,-8.81152,-17.5087
243,102.997,102.997,-20.9339,10.1416,6.97036
1267,285.461,285.461,57.2077,-38.3606,7.53564
755,116.366,116.366,20.5875,-33.8649,-3.67074
499,90.8882,90.8882,3.6163,-13.5171,-8.01745
1011,55.453,55.453,34.1108,-41.4077,8.8312
11,318.657,318.657,-43.0893,10.0676,-1.3142
1035,125.045,125.045,35.9468,-14.9051,29.0683
523,70.2959,70.2959,7.11135,-42.3253,21.5949
267,128.661,128.661,-20.2852,26.4536,15.9293
1291,86.4845,86.4845,58.3325,-39.7155,-12.2825
779,295.303,295.303,25.5735,-22.6822,32.0176
139,547.318,547.318,-26.4294,14.358,26.4729
1163,231.143,231.143,46.3427,-46.6241,4.26
651,81.7009,81.7009,16.0942,-34.1957,-0.159634
395,241.543,241.543,-8.9469,24.9553,9.53811
75,79.6706,79.6706,-35.6578,39.7225,1.62924
1099,205.577,205.577,40.4886,-17.2439,20.8861
587,74.9898,74.9898,12.2387,-14.7874,-0.0326541
331,118.918,118.918,-14.1802,13.2975,2.45528
843,64.1451,64.1451,23.5316,-12.6021,-12.6777
203,0.0166083,0.0166083,-26.5929,38.6776,25.352
1227,162.574,162.574,55.9773,-58.5643,19.2698
715,154.442,154.442,22.0277,-58.4614,13.1585
459,523.27,523.27,-0.54637,17.8914,11.6915
43,133.694,133.694,-39.2831,32.0534,1.15348
1067,190.701,190.701,38.0359,-40.0453,4.5109
555,186.822,186.822,11.1832,-12.9333,-15.6149
299,197.589,197.589,-15.5667,28.6973,16.864
1323,2.2505,2.2505,59.9298,-47.0455,33.9123
811,91.789,91.789,23.7124,-3.41452,-17.9007
171,287.623,287.623,-25.6321,-1.15618,-10.8574
1195,212.523,212.523,49.8144,-41.5999,6.48277
683,178.472,178.472,18.7957,-11.7783,-2.3032
427,95.8608,95.8608,-5.52518,-5.04559,-12.0845
939,410.758,410.758,33.356,-25.1006,19.2506
107,160.516,160.516,-30.3457,27.0429,13.323
1131,119.518,119.518,42.8187,-54.9546,-15.1965
