Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
3942,168.273,168.273,12.8065,11.3869,2.55563
3814,73.8683,73.8683,4.61427,4.17493,10.1509
2022,191.86,191.86,-42.9586,-30.5672,-15.5515
2070,171.917,171.917,-42.1412,-28.3244,-24.6011
2582,96.7937,96.7937,-29.3002,-10.6309,5.44655
1686,100.95,100.95,-52.7452,-14.3842,-21.3873
3478,120.952,120.952,-2.93855,-2.61709,3.05528
3670,87.3098,87.3098,0.0206445,22.5416,2.56283
2902,264.534,264.534,-19.2405,7.86418,-8.02463
3926,126.055,126.055,10.3087,22.3861,-1.4325
2262,98.1815,98.1815,-36.734,-8.22861,-6.77582
2774,148.075,148.075,-21.9717,-0.0527095,20.383
3798,158.905,158.905,5.46752,-2.44715,8.71386
2358,74.5079,74.5079,-35.4115,-22.22,7.92393
3382,124.034,124.034,-5.61241,11.2623,1.99815
1846,106.013,106.013,-47.5092,-9.28671,-5.06185
3894,80.9119,80.9119,9.9191,26.6307,15.8946
2230,90.0934,90.0934,-37.4974,-9.42296,-9.17988
1718,100.862,100.862,-51.2064,-17.7165,-8.13373
3766,567.753,567.753,5.90584,26.9596,7.11792
3190,135.001,135.001,-12.5407,15.8057,12.4027
3702,187.736,187.736,4.13212,27.9283,-8.65505
3446,93.2781,93.2781,-5.09639,7.66143,8.07819
2934,112.882,112.882,-18.8681,-3.37758,11.3801
3830,114.668,114.668,6.86515,39.4479,15.7176
2062,70.4407,70.4407,-42.0498,-3.90999,14.2478
2574,161.812,161.812,-28.442,4.43406,14.3919
3598,71.8344,71.8344,-2.06854,11.8338,12.4315
2318,98.4041,98.4041,-35.8893,-17.3793,-12.3268
2830,150.113,150.113,-21.9856,13.4629,1.99508
3854,61.6143,61.6143,5.8824,12.7758,8.847
4174,266.93,266.93,20.735,14.8977,1.69678
3406,140.116,140.116,-5.03114,4.5952,-4.58964
2894,152.251,152.251,-20.0219,-3.01768,-0.98274
3918,183.854,183.854,9.5728,15.5783,12.9272
3278,319.947,319.947,-7.61339,15.8594,-14.9036
2606,150.684,150.684,-28.0249,-16.3008,4.19985
2350,111.868,111.868,-34.9399,-16.6188,8.25892
3886,270.639,270.639,8.86029,-6.66921,-1.50685
3758,140.724,140.724,4.60568,34.27,5.67161
1966,95.86,95.86,-43.4002,-9.88634,-9.24716
3182,258.852,258.852,-10.7924,-5.30676,-9.98389
2286,75.9455,75.9455,-36.8846,-23.8439,1.0885
3102,38.7219,38.7219,-16.3858,3.65343,8.91556
2590,107.995,107.995,-28.9769,-16.1872,-4.75906
2334,93.8092,93.8092,-35.0373,7.48124,7.83255
3358,235.43,235.43,-6.28554,-2.40972,17.3237
3742,139.565,139.565,5.26938,37.7415,-4.6111
3486,192.349,192.349,-2.04236,13.0251,18.12
2142,142.014,142.014,-40.031,-12.712,-6.55666
2654,139.212,139.212,-26.3368,1.8754,0.732825
2270,145.463,145.463,-37.0171,-19.6558,-17.1789
3646,72.0806,72.0806,-1.11865,19.943,7.31879
3390,238.382,238.382,-4.94103,25.4354,-6.01347
1854,72.3482,72.3482,-46.9496,-32.2054,-7.74842
3262,234.425,234.425,-10.3818,19.444,8.61891
2750,136.764,136.764,-24.163,9.83246,17.7828
2494,120.121,120.121,-31.7401,-13.9858,1.30272
3006,252.657,252.657,-15.8442,0.17781,-11.9024
3710,266.043,266.043,5.89898,12.3642,23.6206
2302,21.3376,21.3376,-37.4574,-23.5009,-14.1272
3838,135.215,135.215,7.6645,1.35669,-1.95458
2558,100.464,100.464,-29.8639,-25.0615,-7.87136
3582,230.076,230.076,-0.67219,-1.25198,-14.455
3070,184.759,184.759,-15.1335,16.5735,5.30707
4094,126.076,126.076,16.1156,21.7278,11.4135
2049,103.246,103.246,-41.4346,-27.2712,1.16839
2561,89.7205,89.7205,-29.3261,-16.9215,9.59692
2177,134.727,134.727,-39.0572,-9.18088,-1.86404
2689,95.3777,95.3777,-25.9944,10.4661,3.58643
3969,143.828,143.828,12.8938,12.9803,-1.34765
2113,80.0175,80.0175,-41.2821,-16.1218,-9.84189
1857,86.3124,86.3124,-46.5847,-26.929,-1.80392
2241,97.9188,97.9188,-36.7361,-15.779,14.0127
1729,86.5319,86.5319,-50.707,-26.3701,-7.11862
3777,106.667,106.667,4.7029,15.8371,7.44126
3521,143.82,143.82,-2.14005,30.3044,-0.791942
3617,312.494,312.494,3.02781,33.0729,-10.8469
3233,232.21,232.21,-8.84615,27.6122,-7.9332
2465,100.704,100.704,-31.1771,-8.0872,18.1653
3169,230.781,230.781,-12.6909,19.5358,-1.60769
3681,97.5196,97.5196,1.71842,6.64408,1.51856
3937,136.121,136.121,11.0012,13.573,-4.78791
3809,58.7793,58.7793,4.55738,17.3372,-6.75238
3553,118.823,118.823,-1.06629,22.1514,19.6283
4065,118.207,118.207,15.2184,40.5809,10.0171
4113,149.648,149.648,16.1622,36.0878,15.5261
2065,111.43,111.43,-41.1254,-22.915,6.08895
2321,122.962,122.962,-34.5056,-11.6407,16.3474
1809,77.1624,77.1624,-48.5254,-12.0209,-8.7489
3857,263.22,263.22,9.74934,22.4382,-9.87936
2449,102.424,102.424,-31.1972,1.36879,5.033
2129,177.27,177.27,-39.9792,-25.443,-23.7862
3665,77.8321,77.8321,0.194905,24.0473,9.47204
1873,107.559,107.559,-46.4694,-20.4235,3.92932
1745,129.673,129.673,-49.2161,-17.6762,-17.3538
3793,142.366,142.366,4.74213,33.2681,15.4043
3537,293.217,293.217,0.835534,6.68725,22.8038
3025,161.352,161.352,-16.1097,7.23342,11.0454
3121,184.487,184.487,-12.6429,23.4703,-8.15257
3633,128.208,128.208,-0.178367,17.2085,18.0227
3889,111.431,111.431,7.81694,20.9745,8.12056
3505,97.8866,97.8866,-3.18136,1.3907,2.48904
4209,213.669,213.669,21.6873,23.5573,-7.12987
2161,170.399,170.399,-39.0534,-16.7789,6.13973
2417,72.7479,72.7479,-33.7921,-33.8668,-8.62234
3569,158.098,158.098,-1.40026,15.063,10.5083
2033,140.949,140.949,-42.257,-0.511362,10.5704
2569,109.601,109.601,-29.2958,-32.134,-11.3034
2313,71.6738,71.6738,-36.3801,-28.5402,0.345338
3337,131.909,131.909,-8.36134,13.8391,-2.85906
2825,124.892,124.892,-20.8258,2.226,8.00326
1801,210.676,210.676,-47.2049,-31.2142,-19.7045
2185,157.14,157.14,-37.3213,0.987572,16.5722
2953,155.2,155.2,-18.4202,17.1569,12.7577
1929,97.9219,97.9219,-44.7576,-17.9571,7.14173
3977,136.9,136.9,13.0027,43.2343,15.1775
2633,136.007,136.007,-25.9122,-8.17051,10.8771
2889,153.915,153.915,-19.7775,-1.1586,15.3406
1865,79.1612,79.1612,-47.3105,-8.60279,3.66372
