Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
4608,122.077,122.077,31.0526,1.66125,1.434
2560,136.662,136.662,-27.3044,4.1548,8.9635
3584,290.897,290.897,0.776831,-6.04126,17.2019
1792,83.217,83.217,-49.573,31.1528,-25.9587
3840,107.908,107.908,7.60486,-8.64156,14.2882
4736,31.081,31.081,35.9023,1.25195,3.86433
1664,144.776,144.776,-52.5813,30.5418,-19.7739
2432,17.4216,17.4216,-31.2613,-3.6614,-31.0694
1408,328.856,328.856,-56.0089,1.29368,-29.7236
2944,80.6686,80.6686,-19.0552,1.23079,6.95119
1920,149.977,149.977,-44.1174,-29.6898,-27.7136
4160,181.729,181.729,16.438,10.7021,20.7232
2624,201.886,201.886,-24.5623,16.72,7.75729
1600,2.43571,2.43571,-56.7948,-32.3686,5.93367
2240,1.07351,1.07351,-36.5715,7.2095,-7.58531
4544,132.288,132.288,29.2624,5.55598,-0.634835
2496,156.077,156.077,-28.1133,-21.3675,-29.4254
1472,32.5679,32.5679,-58.6564,-4.91439,-13.7295
3008,79.0339,79.0339,-17.4855,6.71394,4.0439
4128,166.98,166.98,15.8061,9.87241,7.22426
4640,119.97,119.97,30.1882,-3.58857,23.4577
2336,301.008,301.008,-31.4736,-13.5394,-23.9999
4256,35.166,35.166,18.7685,1.59913,0.413807
4768,101.676,101.676,36.8621,-11.178,12.5062
2656,150.045,150.045,-24.8356,10.7751,-1.50683
4448,761.213,761.213,28.3468,-13.3552,-11.3527
3936,289.279,289.279,11.4397,-17.6626,-1.66747
3296,91.7749,91.7749,-9.96505,24.8635,9.36121
2784,144.349,144.349,-21.8592,-3.81595,1.74722
3808,137.577,137.577,5.93116,22.6357,9.8745
1504,97.6901,97.6901,-57.6047,-1.44501,-15.566
2064,71.8334,71.8334,-39.902,-31.6848,-20.0581
3088,51.1224,51.1224,-16.399,-11.1954,-30.6915
2576,70.5482,70.5482,-26.8009,8.66454,1.61366
3344,58.2098,58.2098,-7.87,-3.27781,-30.7434
2832,234.672,234.672,-19.8226,19.8653,11.1965
1680,6.0348,6.0348,-54.6315,12.5881,6.76326
3472,99.4722,99.4722,-3.58168,7.93459,19.4772
2960,148.486,148.486,-18.7274,-4.87164,-8.03674
3984,204.562,204.562,11.78,12.073,3.5498
4176,365.465,365.465,18.3343,-24.5224,6.10578
2128,76.9558,76.9558,-38.2506,6.36069,-0.618116
2640,6.82581,6.82581,-25.6828,32.4225,-26.7833
1616,252.508,252.508,-54.3475,20.8306,6.33625
3664,126.013,126.013,2.03589,10.8633,7.21514
2384,120.955,120.955,-31.4832,-13.2247,-13.7818
3280,180.546,180.546,-8.56834,11.67,-29.3965
3792,199.561,199.561,6.06619,17.9844,24.9098
3024,74.0512,74.0512,-17.3161,23.4248,6.47352
2000,211.417,211.417,-39.6816,-19.6998,-24.6809
4144,4.69719,4.69719,14.9925,5.57406,-31.6081
3120,131.243,131.243,-12.8874,29.3291,-30.4348
2608,160.347,160.347,-26.5764,0.962744,-3.56275
1584,82.2551,82.2551,-56.7334,-16.7286,-15.3782
3376,236.458,236.458,-5.54106,21.1599,14.7651
2224,216.601,216.601,-34.0645,-25.0938,-28.5417
2480,69.5261,69.5261,-29.7499,-5.02245,-13.7038
1456,189.197,189.197,-58.3634,-23.1953,2.96512
2992,138.818,138.818,-17.2418,24.9388,16.5524
2160,84.2528,84.2528,-36.0603,11.3892,-10.9872
3184,114.501,114.501,-12.253,6.17131,12.8057
1648,90.8516,90.8516,-53.1993,32.011,8.86993
1392,0.036161,0.036161,-59.4043,32.3596,-11.3846
3440,125.166,125.166,-5.0845,1.21997,13.584
1904,83.2677,83.2677,-44.486,-6.68899,-30.8885
3312,67.6638,67.6638,-7.51241,17.6469,12.613
2800,57.6609,57.6609,-23.1595,-10.9906,-2.71295
4592,180.643,180.643,29.8792,-17.8946,21.349
1520,308.994,308.994,-57.0003,11.7436,-24.5307
3056,1.24067,1.24067,-17.9539,20.0046,-31.4782
4080,192.285,192.285,14.8902,1.29333,22.9042
4104,170.444,170.444,15.7878,7.63781,-2.38525
1544,0.817946,0.817946,-59.3567,-14.2966,-2.17324
3592,299.42,299.42,1.4091,-13.4767,6.41873
4360,88.6389,88.6389,23.6382,-12.5528,5.94483
2824,220.12,220.12,-21.5244,4.88543,-19.8635
2184,61.9008,61.9008,-36.3292,28.7157,-22.1466
1672,108.837,108.837,-53.8697,0.773187,-24.5773
4488,7.35016,7.35016,23.775,12.8098,6.23316
2952,152.314,152.314,-18.6126,-8.68698,-20.4499
1928,24.0093,24.0093,-41.5082,32.0754,-30.305
3144,0.272937,0.272937,-15.733,5.90004,-31.2319
4680,79.9315,79.9315,31.7283,13.9917,6.4797
2632,106.537,106.537,-26.1506,27.5937,-27.9275
3656,158.097,158.097,2.7351,4.83017,24.5738
4424,60.1006,60.1006,23.7216,5.01901,6.04363
2888,93.195,93.195,-20.0729,11.4133,15.6506
2248,140.774,140.774,-33.5838,7.5275,-4.4429
4552,163.662,163.662,28.3563,-11.0847,18.3724
2504,80.5176,80.5176,-28.2762,-8.61321,-1.91161
1480,115.752,115.752,-57.9778,-24.7017,-21.447
2088,165.066,165.066,-37.1799,-6.44161,-25.1251
3624,112.049,112.049,1.41901,4.87299,7.84165
4904,119.413,119.413,50.1836,8.15083,16.4715
1832,196.793,196.793,-47.4365,8.94767,-24.5519
4264,464.244,464.244,23.4753,-22.2927,8.18876
2216,268.89,268.89,-33.7354,7.55691,-12.4445
2728,137.334,137.334,-23.6791,-2.00763,-12.8433
