Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
4608,41.7998,41.7998,46.6478,2.40838,-0.383345
5632,234.403,234.403,76.9373,38.8005,15.3544
5376,379.024,379.024,69.224,23.1902,9.52284
5248,126.683,126.683,64.0601,30.9284,22.2451
4736,96.3635,96.3635,49.8701,10.9519,38.9468
4992,94.2576,94.2576,57.1577,3.9078,-22.8203
5184,44.5906,44.5906,61.4946,25.9059,38.8146
4672,170.933,170.933,50.7524,19.2479,6.2165
5440,294.747,294.747,71.1,-0.00131816,47.8693
4928,164.444,164.444,55.5568,8.84338,1.02631
5568,211.88,211.88,74.7888,31.3384,42.1825
5056,147.264,147.264,58.878,1.66668,4.82943
4640,364.633,364.633,49.6786,2.11358,-28.2346
5664,246.653,246.653,79.1001,8.40666,-7.38237
4384,105.892,105.892,40.4122,18.9326,27.6777
4896,200.548,200.548,54.7798,9.98443,41.2093
5280,108.721,108.721,64.4187,13.0652,-1.43404
4768,146.426,146.426,52.4919,17.7626,23.2837
5024,30.4263,30.4263,59.5835,8.33697,50.0308
4448,66.49,66.49,41.7757,2.19004,-26.6199
5472,323.888,323.888,71.1657,7.98236,-14.2958
5856,185.923,185.923,87.6896,32.4499,32.7511
4576,116.927,116.927,45.5171,5.68662,-14.3883
5600,149.514,149.514,75.9892,12.5082,-8.39613
5088,155.87,155.87,60.5976,23.8472,15.6352
5136,62.2813,62.2813,60.4458,18.6086,-10.4243
5392,253.595,253.595,68.957,-6.20632,11.9407
4880,79.3143,79.3143,53.4907,23.895,40.8397
4752,89.9264,89.9264,52.3105,-1.23777,-28.4594
4688,89.6002,89.6002,48.5507,22.3292,40.5839
4816,156.853,156.853,52.3177,20.4477,-2.00589
4560,164.488,164.488,45.9755,19.8891,-11.1754
5072,166.605,166.605,61.0511,9.58316,-19.6009
5168,74.5863,74.5863,61.5925,33.8448,32.3407
4400,239.553,239.553,42.5767,25.8717,5.88904
5424,431.82,431.82,71.5727,-3.40818,-7.45036
4912,62.0166,62.0166,54.2518,15.69,-23.9988
4272,331.005,331.005,37.4738,-0.932181,14.5286
5296,93.2664,93.2664,65.4615,5.46836,35.6498
5808,318.945,318.945,86.0573,38.1008,28.0009
4528,65.24,65.24,44.5719,20.7952,-20.3956
5040,88.3113,88.3113,58.8036,5.14278,5.49551
4464,3.71146,3.71146,41.7005,-5.02902,10.0216
5488,304.129,304.129,73.6312,-6.288,6.79184
4976,108.756,108.756,57.4597,21.3046,17.3845
5360,227.557,227.557,68.2136,0.105833,-1.36131
4848,123.837,123.837,52.7176,22.4016,35.1764
5104,45.0813,45.0813,60.9147,36.5898,49.7556
5128,19.9772,19.9772,60.4318,29.3425,31.6746
5640,134.361,134.361,78.6088,34.5206,34.1933
4360,143.304,143.304,40.8371,18.4008,11.5584
5384,325.845,325.845,68.8475,14.6425,13.7159
5256,68.0955,68.0955,63.8529,16.356,-2.66779
4744,205.656,205.656,52.6869,12.1517,-21.6227
4488,312.687,312.687,45.1181,27.2542,-14.5208
5512,168.378,168.378,72.5855,5.57688,-18.5863
5192,803.622,803.622,66.1071,30.9931,-1.82724
4680,172.744,172.744,48.3894,30.0365,42.2944
4424,190.671,190.671,43.457,-0.485612,-11.4389
5448,222.928,222.928,72.922,-1.66815,1.54798
