Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
610,326.054,326.054,-6.21612,10.914,-15.6834
354,308.484,308.484,-26.4835,0.945312,-0.900913
866,175.02,175.02,9.3053,-4.74281,-0.903871
738,355.682,355.682,2.7719,12.6641,18.3359
482,132.97,132.97,-16.8783,1.66657,-12.5874
994,166.612,166.612,18.5977,-21.0637,-14.0254
1042,304.901,304.901,24.1428,-18.5148,-5.52232
786,92.5127,92.5127,3.1946,-5.06236,1.78078
658,168.339,168.339,-5.16555,9.84436,18.8742
914,218.528,218.528,15.1445,5.32242,-26.6969
594,99.8969,99.8969,-8.75605,-18.0236,10.0628
850,342.855,342.855,9.84459,-11.7671,18.5505
466,207.737,207.737,-17.7287,-5.13974,-8.74779
1074,264.959,264.959,28.2477,3.2844,-4.16128
818,105.223,105.223,7.31628,-20.723,7.207
690,121.542,121.542,-2.71186,3.20773,-1.59115
946,78.1321,78.1321,15.3444,-5.76378,9.53852
626,300.26,300.26,-5.28266,19.8075,-5.04289
882,141.101,141.101,12.268,3.25461,-14.9047
754,409.507,409.507,3.63076,-15.425,12.9489
498,82.2231,82.2231,-15.1949,11.0111,7.50821
1034,122.622,122.622,23.2441,-12.4592,3.43523
778,106.275,106.275,3.20146,2.43557,7.45179
650,194.848,194.848,-3.37874,15.8523,0.422544
394,192.246,192.246,-22.5167,17.2072,2.14451
906,87.6365,87.6365,12.6061,-10.346,11.8728
586,262.944,262.944,-8.91739,-11.5671,15.7522
842,127.876,127.876,6.72835,-2.27785,0.376148
714,85.7223,85.7223,-1.4053,-4.7188,9.26772
458,131.942,131.942,-18.1824,13.2512,11.5277
970,462.645,462.645,20.1644,-18.4934,-9.57935
554,161.363,161.363,-10.7987,-2.44752,17.1512
810,71.1958,71.1958,4.68388,-0.731931,-5.97725
938,140.922,140.922,17.0736,-17.3139,6.79947
618,81.9044,81.9044,-8.17039,19.2644,9.59137
874,137.226,137.226,10.3161,-13.3125,10.9913
746,252.481,252.481,2.82824,5.71482,-25.2749
490,59.3327,59.3327,-14.975,18.2898,5.0457
1050,118.361,118.361,24.6531,-19.4362,-16.5956
794,250.48,250.48,4.88889,-15.6003,-7.59486
666,170.776,170.776,-2.73163,-0.636645,6.72069
922,53.5692,53.5692,14.1258,-3.52411,-15.3643
602,4.76003,4.76003,-10.886,5.14887,4.31068
858,53.1002,53.1002,8.61547,-11.2296,5.60231
730,97.698,97.698,0.21851,9.08191,-12.3169
474,134.68,134.68,-16.9603,2.14264,18.4428
986,347.232,347.232,19.2301,16.6161,-18.1859
1082,366.804,366.804,31.0835,-4.40662,16.6546
