Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1024,326.5,326.5,23.9012,17.7045,5.04198
512,10.0024,10.0024,-15.9949,16.1527,11.6309
768,227.812,227.812,3.69527,-10.6898,-16.5759
640,211.35,211.35,-5.12704,-0.660601,-22.4049
896,141.72,141.72,12.2929,-1.68766,4.66882
1088,170.675,170.675,30.7906,0.151064,-5.41491
1056,74.6878,74.6878,24.134,-3.39657,-6.25954
800,193.267,193.267,5.72452,-8.79209,-12.7526
672,172.82,172.82,-4.43945,3.68076,18.3796
608,105.08,105.08,-9.31009,13.1908,8.77026
352,186.517,186.517,-27.7532,12.6507,-5.02824
864,159.749,159.749,10.1489,10.4179,2.85229
736,176.143,176.143,0.701023,-16.9023,1.91566
480,134.49,134.49,-17.4263,20.038,-2.73413
992,214.914,214.914,21.112,11.2078,6.83652
1040,132.22,132.22,23.722,10.8252,2.7694
784,207.326,207.326,4.80551,4.94358,15.252
656,129.975,129.975,-4.04406,4.13933,7.85897
400,121.781,121.781,-22.7974,16.5213,-4.83049
912,200.92,200.92,12.927,9.73701,13.5922
848,83.9166,83.9166,7.61548,-3.88623,-6.59911
720,114.504,114.504,-0.522803,-5.20253,3.53627
976,108.237,108.237,17.698,-13.6344,-16.9
1072,24.4792,24.4792,26.1125,8.35878,10.0269
304,204.24,204.24,-34.4984,10.0888,3.37074
816,147.747,147.747,6.2548,-21.1106,-2.63826
944,105.698,105.698,15.0535,-22.0427,-6.858
624,159.128,159.128,-7.38376,-9.77175,-14.0964
368,164.236,164.236,-24.5698,6.86253,7.96067
880,172.748,172.748,10.8396,-8.20692,15.0943
752,166.762,166.762,1.30242,3.96237,-8.59863
1008,114.706,114.706,19.7668,-1.44408,2.21765
1032,300.57,300.57,23.9614,2.09255,13.0304
520,198.834,198.834,-12.4121,20.1472,1.51613
776,145.692,145.692,2.53986,-18.1683,-9.37468
648,184.137,184.137,-5.37046,7.19964,11.5943
904,313.959,313.959,14.2721,12.7509,-22.649
1096,275.453,275.453,32.6557,2.50556,2.88445
584,289.059,289.059,-8.47916,6.04975,-18.5535
328,149.263,149.263,-29.4948,15.9025,3.91712
840,144.841,144.841,7.78258,5.15531,2.186
712,193.694,193.694,-0.506628,-5.21208,-21.181
968,219.915,219.915,19.2705,8.44464,4.16556
808,176.536,176.536,6.35602,-17.089,7.74356
680,114.401,114.401,-3.1326,0.931623,3.52764
424,179.41,179.41,-20.5681,-2.64084,-7.31323
936,124.639,124.639,13.2766,14.3559,8.75243
872,145.431,145.431,10.958,-2.25245,-13.6912
744,163.447,163.447,0.303436,-12.0932,5.39837
1000,167.494,167.494,19.5332,0.630892,-17.553
1048,113.474,113.474,23.2336,-9.20229,-0.589862
792,141.58,141.58,4.1121,6.44119,-7.53316
600,139.309,139.309,-8.68254,20.1321,-2.61943
856,138.266,138.266,8.4202,-14.2713,5.371
728,247.813,247.813,1.76079,19.0988,-16.7851
472,75.9835,75.9835,-18.406,18.3034,2.47303
984,386.401,386.401,20.3815,8.71432,21.8178
1080,166.562,166.562,28.006,-22.05,-13.3954
568,174.145,174.145,-10.2561,-3.83079,6.7024
824,85.807,85.807,5.55223,-1.74477,9.0764
952,110.724,110.724,15.4542,9.66884,10.1161
888,212.326,212.326,12.4724,-7.06647,-18.825
760,160.408,160.408,3.20046,1.95735,-13.5491
