Label,Value
288,20.7224
360,22.6611
408,7.03419
344,0
312,27.1453
396,0
332,12.5284
236,0
348,7.71055
338,13.2502
218,0
250,10.642
358,11.4508
246,13.9523
398,15.2228
334,19.1142
286,0
190,7.92755
193,0
297,15.0731
389,22.5133
229,6.95211
333,7.31376
349,15.5628
307,28.2741
371,0
243,17.6953
331,22.0175
391,12.262
327,17.9648
423,0
279,8.32545
319,7.12469
383,18.6649
