bin1,bin2,p_value,bin1_mean,bin2_mean
0.0995,0.30000000000000004,0.24166634723790353,6.287789205434427,5.323312573718517
0.0995,0.5,0.957508410658813,6.287789205434427,6.332506958908422
0.0995,0.7,0.06694675184574245,6.287789205434427,4.852110769287384
0.0995,0.9,0.4384276755312032,6.287789205434427,5.6042804926512515
0.30000000000000004,0.5,0.1628227737404864,5.323312573718517,6.332506958908422
0.30000000000000004,0.7,0.4282507672033301,5.323312573718517,4.852110769287384
0.30000000000000004,0.9,0.7066405998794871,5.323312573718517,5.6042804926512515
0.5,0.7,0.028855825431711644,6.332506958908422,4.852110769287384
0.5,0.9,0.35576979568188516,6.332506958908422,5.6042804926512515
0.7,0.9,0.2755551142734906,4.852110769287384,5.6042804926512515
