sample_name,cell_id,AP,PD,vol,AP_norm,PD_norm,vol_rescale,bin,bin_center,vol_pool_rescale
419,448,12.5465,0.0,74.5813,0.5965376898279781,0.0,0.40473727452199393,"(-0.001, 0.2]",0.0995,0.45634621353300836
419,376,16.6615,6.07224,108.122,0.7921900704633847,0.19758880894971642,0.586755709485716,"(-0.001, 0.2]",0.0995,0.6615742190014914
419,324,13.7246,12.7886,130.83,0.6525518015233784,0.4161370832072421,0.7099873242449846,"(0.4, 0.6]",0.5,0.800519367676931
419,340,16.1593,12.1748,110.251,0.7683123971814647,0.3961642213089416,0.5983093517185186,"(0.2, 0.4]",0.30000000000000004,0.6746010915367218
419,300,13.4222,17.2175,67.3518,0.6381738477192115,0.5602521175203454,0.36550427474649044,"(0.4, 0.6]",0.5,0.4121105277681198
419,258,18.9499,19.0664,96.7108,0.9009946653226957,0.6204147508924011,0.5248294895482065,"(0.6, 0.8]",0.7,0.5917516507187199
419,386,6.8408,5.21172,213.43,0.3252536586757448,0.1695877546637511,1.1582404235542847,"(-0.001, 0.2]",0.0995,1.3059302044124999
419,194,0.0,30.7317,713.529,0.0,1.0,3.872174160981423,"(0.8, 1.0]",0.9,4.365923594734792
419,274,16.6114,18.0048,148.311,0.7898080086724166,0.5858706156834799,0.8048530921508669,"(0.4, 0.6]",0.5,0.9074816780519247
419,330,6.85727,15.501,171.298,0.32603674365972174,0.5043977391423188,0.9295987821487225,"(0.4, 0.6]",0.5,1.0481339650257808
419,314,0.0,22.8611,413.449,0.0,0.7438931136253445,2.243702126589961,"(0.6, 0.8]",0.7,2.529801513770996
419,406,12.0525,0.0,76.9874,0.5730498949230228,0.0,0.41779468108674095,"(-0.001, 0.2]",0.0995,0.47106859869365547
419,398,0.0,12.0525,233.322,0.0,0.39218461718681363,1.2661901893104661,"(0.2, 0.4]",0.30000000000000004,1.42764488194693
419,222,16.9165,22.9181,135.211,0.8043143370641207,0.7457478759717164,0.7337621042458811,"(0.6, 0.8]",0.7,0.8273257221047582
419,273,21.0322,19.3531,75.2344,1.0,0.6297438800977493,0.40828151301060045,"(0.6, 0.8]",0.7,0.4603423856573667
419,329,10.6142,14.4843,112.692,0.5046642766805185,0.4713146360272943,0.6115561533579132,"(0.4, 0.6]",0.5,0.6895370219540525
419,355,0.0,17.4826,342.026,0.0,0.5688783894154896,1.8561042923046327,"(0.4, 0.6]",0.5,2.0927802281515704
419,243,8.51987,22.3287,221.486,0.40508696189652055,0.7265689825164244,1.2019586677193659,"(0.6, 0.8]",0.7,1.3552230579323756
419,363,6.00664,11.9846,244.45,0.28559256758684304,0.38997517221631084,1.326579541478915,"(0.2, 0.4]",0.30000000000000004,1.4957346130751796
419,423,16.0911,0.0,106.678,0.765069750192562,0.0,0.578919420437258,"(-0.001, 0.2]",0.0995,0.6527387075215136
419,375,11.2808,7.90377,135.154,0.5363585359591483,0.2571862279014828,0.7334527770465997,"(0.2, 0.4]",0.30000000000000004,0.826976951914759
419,415,8.00345,4.3537,122.855,0.38053318245357126,0.14166804960350388,0.6667086503104608,"(-0.001, 0.2]",0.0995,0.7517221349533696
422,384,12.3447,20.0778,110.677,0.5375581334587448,0.5608167369626547,0.7890734181850279,"(0.4, 0.6]",0.5,0.6772076897988205
422,456,11.5909,5.21791,87.0266,0.5047334134573513,0.14574760481550794,0.6204575181385577,"(-0.001, 0.2]",0.0995,0.5324962073153955
422,376,0.0,35.801,349.756,0.0,1.0,2.4935909217879284,"(0.8, 1.0]",0.9,2.1400783609356617
422,436,11.7778,11.0239,53.8108,0.5128720976816289,0.30792156643669166,0.3836449478326201,"(0.2, 0.4]",0.30000000000000004,0.32925619192990746
422,460,11.9178,0.0,102.864,0.5189684903589904,0.0,0.7333705113816303,"(-0.001, 0.2]",0.0995,0.6294016986678883
422,428,21.3516,0.0,113.284,0.9297695563567957,0.0,0.8076600658282452,"(-0.001, 0.2]",0.0995,0.6931593369098329
422,492,0.0,21.9596,351.816,0.0,0.6133795145387,2.5082777242984875,"(0.6, 0.8]",0.7,2.1526830379777353
422,476,17.6498,0.0,115.084,0.7685722248349619,0.0,0.8204931942355299,"(-0.001, 0.2]",0.0995,0.7041731323834894
422,316,22.9644,18.2163,87.9981,1.0,0.5088209826541158,0.6273838427206004,"(0.4, 0.6]",0.5,0.5384405974835383
422,354,18.4679,14.1913,64.4178,0.8041969309017435,0.396393955476104,0.4592677217304362,"(0.2, 0.4]",0.30000000000000004,0.39415804114605973
422,402,17.1471,6.70222,146.947,0.746681820557036,0.18720761989888549,1.0476609555918148,"(-0.001, 0.2]",0.0995,0.8991356685929983
422,306,22.8363,19.3899,68.6271,0.9944218007002142,0.5416021898829642,0.48927799251087145,"(0.4, 0.6]",0.5,0.4199138018612054
422,394,14.277,14.4618,71.1391,0.6217014161049276,0.4039496103460797,0.5071873361548155,"(0.4, 0.6]",0.5,0.4352841653222193
422,362,17.8555,14.5433,90.2051,0.7775295675044851,0.4062260830703053,0.6431186840510879,"(0.4, 0.6]",0.5,0.5519447344892939
422,378,11.1795,21.8595,91.4268,0.48681872811830484,0.610583503254099,0.6518288134817433,"(0.6, 0.8]",0.7,0.559420042228275
422,506,0.0,17.9523,216.953,0.0,0.5014468869584648,1.5467698374142445,"(0.4, 0.6]",0.5,1.3274866496645508
422,390,19.2894,6.17346,76.8589,0.8399696922192611,0.17243820005027793,0.5479667405236972,"(-0.001, 0.2]",0.0995,0.4702823360723417
