bin1,bin2,p_value,bin1_mean,bin2_mean
0.0995,0.30000000000000004,4.668119426365831e-05,12.326931147818843,6.196252358091693
0.0995,0.5,6.402051888554846e-08,12.326931147818843,4.037635393051514
0.0995,0.7,2.1438548081490835e-08,12.326931147818843,3.562792091304149
0.0995,0.9,1.7999565028180753e-09,12.326931147818843,2.2763890097338026
0.30000000000000004,0.5,0.018679544173152266,6.196252358091693,4.037635393051514
0.30000000000000004,0.7,0.004692860924929905,6.196252358091693,3.562792091304149
0.30000000000000004,0.9,0.00010408610745618438,6.196252358091693,2.2763890097338026
0.5,0.7,0.3361753583393363,4.037635393051514,3.562792091304149
0.5,0.9,0.0008055811531496967,4.037635393051514,2.2763890097338026
0.7,0.9,0.004938253886431444,3.562792091304149,2.2763890097338026
